Temperature (K)	Pressure (MPa)	Density (l, mol/m3)	Volume (l, m3/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/m3)	Volume (v, m3/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
83.806	0.068891	35465.	2.8197e-05	-4.8531	-4.8512	53.110	21.956	44.570	862.43	-0.40500	0.00030623	0.13027	0.013421	101.50	0.0098526	1.0103	1.6891	131.15	12.972	22.172	168.12	35.712	6.8154e-06	0.0052564
83.917	0.069781	35448.	2.8210e-05	-4.8481	-4.8462	53.169	21.937	44.569	861.66	-0.40466	0.00030498	0.13012	0.013392	102.70	0.0097375	1.0113	1.6908	131.07	12.976	22.185	168.21	35.616	6.8256e-06	0.0052647
84.029	0.070680	35431.	2.8224e-05	-4.8432	-4.8412	53.228	21.919	44.568	860.90	-0.40432	0.00030374	0.12998	0.013364	103.91	0.0096240	1.0124	1.6926	130.98	12.980	22.197	168.30	35.521	6.8357e-06	0.0052730
84.140	0.071587	35414.	2.8237e-05	-4.8382	-4.8362	53.287	21.901	44.568	860.14	-0.40398	0.00030251	0.12983	0.013335	105.13	0.0095122	1.0134	1.6943	130.90	12.984	22.210	168.40	35.425	6.8459e-06	0.0052814
84.252	0.072504	35398.	2.8251e-05	-4.8333	-4.8312	53.346	21.883	44.568	859.38	-0.40363	0.00030129	0.12968	0.013306	106.36	0.0094020	1.0144	1.6961	130.82	12.988	22.223	168.49	35.331	6.8560e-06	0.0052898
84.363	0.073430	35381.	2.8264e-05	-4.8283	-4.8262	53.405	21.865	44.568	858.61	-0.40328	0.00030007	0.12954	0.013278	107.60	0.0092934	1.0154	1.6979	130.74	12.992	22.235	168.58	35.236	6.8662e-06	0.0052981
84.475	0.074365	35364.	2.8278e-05	-4.8233	-4.8212	53.464	21.847	44.568	857.85	-0.40293	0.00029887	0.12939	0.013249	108.86	0.0091863	1.0165	1.6996	130.66	12.996	22.248	168.66	35.143	6.8763e-06	0.0053065
84.586	0.075309	35347.	2.8291e-05	-4.8184	-4.8163	53.522	21.829	44.568	857.08	-0.40257	0.00029767	0.12924	0.013221	110.12	0.0090808	1.0175	1.7013	130.58	13.000	22.261	168.75	35.049	6.8865e-06	0.0053150
84.698	0.076262	35330.	2.8305e-05	-4.8134	-4.8113	53.581	21.811	44.569	856.32	-0.40221	0.00029648	0.12909	0.013192	111.40	0.0089768	1.0185	1.7031	130.49	13.004	22.274	168.84	34.956	6.8967e-06	0.0053234
84.809	0.077225	35313.	2.8318e-05	-4.8085	-4.8063	53.640	21.794	44.570	855.55	-0.40184	0.00029529	0.12895	0.013164	112.69	0.0088742	1.0195	1.7048	130.41	13.008	22.287	168.93	34.864	6.9068e-06	0.0053318
84.920	0.078197	35296.	2.8332e-05	-4.8035	-4.8013	53.698	21.776	44.571	854.79	-0.40147	0.00029412	0.12880	0.013135	113.98	0.0087731	1.0205	1.7065	130.33	13.012	22.301	169.02	34.772	6.9170e-06	0.0053403
85.032	0.079179	35279.	2.8346e-05	-4.7986	-4.7963	53.756	21.759	44.572	854.02	-0.40110	0.00029295	0.12865	0.013107	115.29	0.0086735	1.0215	1.7083	130.25	13.016	22.314	169.11	34.680	6.9272e-06	0.0053488
85.143	0.080170	35262.	2.8359e-05	-4.7936	-4.7913	53.815	21.741	44.573	853.26	-0.40072	0.00029179	0.12850	0.013079	116.62	0.0085752	1.0225	1.7100	130.17	13.020	22.327	169.20	34.589	6.9374e-06	0.0053573
85.255	0.081171	35245.	2.8373e-05	-4.7886	-4.7863	53.873	21.724	44.575	852.49	-0.40034	0.00029064	0.12836	0.013050	117.95	0.0084783	1.0235	1.7117	130.09	13.024	22.341	169.29	34.498	6.9476e-06	0.0053658
85.366	0.082181	35228.	2.8387e-05	-4.7837	-4.7814	53.931	21.706	44.576	851.72	-0.39995	0.00028949	0.12821	0.013022	119.29	0.0083828	1.0245	1.7134	130.01	13.029	22.354	169.37	34.407	6.9578e-06	0.0053743
85.478	0.083201	35211.	2.8401e-05	-4.7787	-4.7764	53.989	21.689	44.578	850.95	-0.39956	0.00028835	0.12806	0.012993	120.65	0.0082886	1.0255	1.7151	129.93	13.033	22.368	169.46	34.317	6.9680e-06	0.0053828
85.589	0.084231	35194.	2.8414e-05	-4.7738	-4.7714	54.047	21.672	44.580	850.19	-0.39917	0.00028722	0.12791	0.012965	122.01	0.0081957	1.0265	1.7168	129.85	13.037	22.382	169.55	34.228	6.9782e-06	0.0053914
85.701	0.085270	35176.	2.8428e-05	-4.7688	-4.7664	54.105	21.655	44.582	849.42	-0.39877	0.00028610	0.12777	0.012937	123.39	0.0081042	1.0275	1.7185	129.77	13.041	22.396	169.64	34.138	6.9884e-06	0.0054000
85.812	0.086320	35159.	2.8442e-05	-4.7639	-4.7614	54.163	21.638	44.585	848.65	-0.39837	0.00028498	0.12762	0.012908	124.78	0.0080139	1.0285	1.7202	129.70	13.046	22.409	169.72	34.050	6.9986e-06	0.0054085
85.924	0.087379	35142.	2.8456e-05	-4.7589	-4.7564	54.220	21.621	44.587	847.88	-0.39797	0.00028387	0.12747	0.012880	126.19	0.0079248	1.0295	1.7219	129.62	13.050	22.423	169.81	33.961	7.0088e-06	0.0054172
86.035	0.088448	35125.	2.8470e-05	-4.7539	-4.7514	54.278	21.604	44.590	847.11	-0.39756	0.00028277	0.12732	0.012852	127.60	0.0078370	1.0304	1.7236	129.54	13.054	22.438	169.90	33.873	7.0190e-06	0.0054258
86.147	0.089528	35108.	2.8483e-05	-4.7490	-4.7464	54.336	21.587	44.593	846.34	-0.39715	0.00028167	0.12718	0.012823	129.03	0.0077504	1.0314	1.7253	129.46	13.058	22.452	169.98	33.785	7.0293e-06	0.0054344
86.258	0.090617	35091.	2.8497e-05	-4.7440	-4.7414	54.393	21.571	44.596	845.57	-0.39673	0.00028059	0.12703	0.012795	130.46	0.0076649	1.0324	1.7270	129.38	13.063	22.466	170.07	33.698	7.0395e-06	0.0054431
86.370	0.091717	35074.	2.8511e-05	-4.7391	-4.7365	54.451	21.554	44.599	844.80	-0.39631	0.00027950	0.12688	0.012767	131.91	0.0075807	1.0334	1.7286	129.30	13.067	22.480	170.15	33.611	7.0497e-06	0.0054517
86.481	0.092827	35057.	2.8525e-05	-4.7341	-4.7315	54.508	21.537	44.602	844.03	-0.39589	0.00027843	0.12673	0.012738	133.38	0.0074976	1.0343	1.7303	129.23	13.072	22.495	170.24	33.525	7.0600e-06	0.0054604
86.593	0.093947	35040.	2.8539e-05	-4.7292	-4.7265	54.565	21.521	44.606	843.25	-0.39546	0.00027736	0.12659	0.012710	134.85	0.0074156	1.0353	1.7320	129.15	13.076	22.509	170.33	33.439	7.0702e-06	0.0054691
86.704	0.095078	35022.	2.8553e-05	-4.7242	-4.7215	54.623	21.504	44.609	842.48	-0.39503	0.00027630	0.12644	0.012682	136.34	0.0073347	1.0363	1.7336	129.07	13.080	22.524	170.41	33.353	7.0805e-06	0.0054778
86.815	0.096219	35005.	2.8567e-05	-4.7192	-4.7165	54.680	21.488	44.613	841.71	-0.39459	0.00027524	0.12629	0.012654	137.84	0.0072550	1.0372	1.7353	129.00	13.085	22.539	170.50	33.268	7.0908e-06	0.0054866
86.927	0.097371	34988.	2.8581e-05	-4.7143	-4.7115	54.737	21.471	44.617	840.94	-0.39415	0.00027420	0.12614	0.012626	139.35	0.0071763	1.0382	1.7369	128.92	13.089	22.553	170.58	33.183	7.1010e-06	0.0054953
87.038	0.098533	34971.	2.8595e-05	-4.7093	-4.7065	54.794	21.455	44.621	840.16	-0.39371	0.00027315	0.12600	0.012597	140.87	0.0070987	1.0391	1.7386	128.84	13.094	22.568	170.67	33.098	7.1113e-06	0.0055041
87.150	0.099706	34954.	2.8609e-05	-4.7044	-4.7015	54.851	21.439	44.626	839.39	-0.39326	0.00027212	0.12585	0.012569	142.41	0.0070221	1.0401	1.7402	128.77	13.098	22.583	170.75	33.014	7.1216e-06	0.0055129
87.261	0.10089	34937.	2.8623e-05	-4.6994	-4.6965	54.908	21.423	44.630	838.62	-0.39281	0.00027109	0.12570	0.012541	143.96	0.0069465	1.0410	1.7419	128.69	13.103	22.598	170.83	32.930	7.1318e-06	0.0055217
87.373	0.10208	34919.	2.8637e-05	-4.6944	-4.6915	54.965	21.407	44.635	837.84	-0.39236	0.00027007	0.12555	0.012513	145.52	0.0068720	1.0420	1.7435	128.61	13.107	22.613	170.92	32.847	7.1421e-06	0.0055305
87.484	0.10329	34902.	2.8652e-05	-4.6895	-4.6865	55.021	21.391	44.640	837.07	-0.39190	0.00026905	0.12540	0.012485	147.09	0.0067984	1.0429	1.7451	128.54	13.112	22.629	171.00	32.763	7.1524e-06	0.0055393
87.596	0.10450	34885.	2.8666e-05	-4.6845	-4.6815	55.078	21.375	44.645	836.29	-0.39144	0.00026804	0.12526	0.012457	148.68	0.0067259	1.0439	1.7468	128.46	13.117	22.644	171.08	32.681	7.1627e-06	0.0055482
87.707	0.10573	34868.	2.8680e-05	-4.6796	-4.6765	55.135	21.359	44.650	835.51	-0.39097	0.00026703	0.12511	0.012428	150.28	0.0066543	1.0448	1.7484	128.39	13.121	22.659	171.17	32.598	7.1730e-06	0.0055571
87.819	0.10697	34850.	2.8694e-05	-4.6746	-4.6715	55.191	21.343	44.655	834.74	-0.39050	0.00026604	0.12496	0.012400	151.89	0.0065836	1.0457	1.7500	128.31	13.126	22.675	171.25	32.516	7.1833e-06	0.0055659
87.930	0.10822	34833.	2.8708e-05	-4.6696	-4.6665	55.248	21.327	44.660	833.96	-0.39003	0.00026504	0.12481	0.012372	153.52	0.0065139	1.0467	1.7516	128.24	13.130	22.690	171.33	32.434	7.1936e-06	0.0055749
88.042	0.10948	34816.	2.8723e-05	-4.6647	-4.6615	55.304	21.311	44.666	833.18	-0.38955	0.00026406	0.12467	0.012344	155.16	0.0064451	1.0476	1.7532	128.16	13.135	22.706	171.42	32.353	7.2039e-06	0.0055838
88.153	0.11075	34799.	2.8737e-05	-4.6597	-4.6565	55.360	21.296	44.672	832.40	-0.38907	0.00026308	0.12452	0.012316	156.81	0.0063772	1.0485	1.7548	128.09	13.140	22.722	171.50	32.272	7.2143e-06	0.0055927
88.265	0.11203	34781.	2.8751e-05	-4.6547	-4.6515	55.417	21.280	44.678	831.63	-0.38859	0.00026210	0.12437	0.012288	158.47	0.0063102	1.0494	1.7564	128.02	13.145	22.738	171.58	32.191	7.2246e-06	0.0056017
